vaccine_cost,gdp,BothHigh,LowSensitivity,LowSpecificity
0,31364.603448275862,-7993.656558696843,-6328.247454819625,-7908.917539452156
5,31364.603448275862,-6039.1171905516585,-4303.89426865033,-5067.33920407767
10,31364.603448275862,-4084.577822406473,-2279.5410824810374,-2225.760868703184
15,31364.603448275862,-2130.038454261289,-255.18789631174448,615.8174666712995
20,31364.603448275862,-175.49908611610513,1769.1652898575508,3457.395802045788
25,31364.603448275862,1779.0402820290788,3793.5184760268457,6298.974137420277
30,31364.603448275862,3733.5796501742625,5817.8716621961385,9140.552472794758
35,31364.603448275862,5688.119018319447,7842.224848365431,11982.130808169244
40,31364.603448275862,7642.6583864646345,9866.578034534725,14823.709143543729
45,31364.603448275862,9597.197754609819,11890.931220704022,17665.28747891822
50,31364.603448275862,11551.737122755001,13915.284406873314,20506.8658142927
55,31364.603448275862,13506.276490900185,15939.637593042607,23348.444149667193
60,31364.603448275862,15460.81585904537,17963.990779211905,26190.022485041674
65,31364.603448275862,17415.355227190554,19988.34396538119,29031.600820416155
70,31364.603448275862,19369.894595335736,22012.69715155049,31873.179155790647
75,31364.603448275862,21324.433963480922,24037.05033771978,34714.757491165125
80,31364.603448275862,23278.973331626104,26061.403523889076,37556.33582653962
85,31364.603448275862,25233.51269977129,28085.756710058373,40397.9141619141
90,31364.603448275862,27188.052067916473,30110.10989622766,43239.49249728859
95,31364.603448275862,29142.591436061655,32134.463082396956,46081.07083266306
100,31364.603448275862,31097.13080420684,34158.816268566254,48922.649168037555
105,31364.603448275862,33051.670172352024,36183.169454735544,51764.22750341205
110,31364.603448275862,35006.209540497206,38207.522640904834,54605.80583878654
115,31364.603448275862,36960.748908642396,40231.87582707413,57447.38417416101
120,31364.603448275862,38915.28827678757,42256.22901324343,60288.9625095355
125,31364.603448275862,40869.82764493276,44280.58219941271,63130.54084490999
130,31364.603448275862,42824.36701307794,46304.935385582015,65972.11918028446
135,31364.603448275862,44778.90638122313,48329.2885717513,68813.69751565895
140,31364.603448275862,46733.44574936831,50353.641757920595,71655.27585103344
145,31364.603448275862,48687.9851175135,52377.994944089885,74496.85418640793
150,31364.603448275862,50642.52448565867,54402.34813025918,77338.43252178241
155,31364.603448275862,52597.06385380387,56426.70131642848,80180.0108571569
160,31364.603448275862,54551.60322194906,58451.05450259778,83021.58919253139
165,31364.603448275862,56506.14259009425,60475.407688767074,85863.16752790588
170,31364.603448275862,58460.681958239424,62499.760874936364,88704.74586328035
175,31364.603448275862,60415.22132638462,64524.11406110566,91546.32419865484
180,31364.603448275862,62369.760694529796,66548.46724727495,94387.90253402933
185,31364.603448275862,64324.30006267497,68572.82043344424,97229.48086940381
190,31364.603448275862,66278.83943082017,70597.17361961353,100071.0592047783
195,31364.603448275862,68233.37879896534,72621.52680578284,102912.63754015276
200,31364.603448275862,70187.91816711053,74645.87999195214,105754.21587552728
205,31364.603448275862,72142.4575352557,76670.2331781214,108595.79421090175
210,31364.603448275862,74096.9969034009,78694.58636429072,111437.37254627624
215,31364.603448275862,76051.5362715461,80718.93955046003,114278.95088165073
220,31364.603448275862,78006.07563969126,82743.29273662929,117120.52921702522
225,31364.603448275862,79960.61500783646,84767.64592279859,119962.10755239971
230,31364.603448275862,81915.15437598163,86791.99910896788,122803.68588777418
235,31364.603448275862,83869.69374412682,88816.3522951372,125645.26422314867
240,31364.603448275862,85824.233112272,90840.70548130648,128486.84255852315
245,31364.603448275862,87778.77248041719,92865.05866747577,131328.42089389765
250,31364.603448275862,89733.31184856237,94889.41185364506,134169.99922927213
